Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
Stratège digital passionné par les nouvelles technologies | En recherche de nouvelles opportunités en communication digitale,France entière,immédiate,"Optimisation SEO pour le multimédia
Certification Google Ads pour la publicité sur le
Google Data Studio : Présenter les données marketing
Stratégies de communication digitale","
Mastere 2 Directeur De Projet Image Communication Digitale

|
Bac+5 et plus ou équivalents","Alias studio tools
Application web
Connaissances en techniques de communication, technologies de l'information, Internet, vidéo, réseaux sociaux (LinkedIn, Twitter…), multimédia
CSS
Google Analytics
(Intermédiaire)
HTML
(Intermédiaire)
Microsoft Project
Photographie
(Intermédiaire)
Stratégies de communication digitale
(Avancé)
WordPress (CMS)
(Intermédiaire)"
Dévelopeur Jeux/.Net/Web,France entière,immédiate,"Intégrer des outils IA/Data Science
Langage C++
Untiy
Utilisation de frameworks de test
C#","
Dévelopeur d'application en freelance

|
Arborus","ASP.NET
(Débutant)
C#
(Avancé)
Java
(Intermédiaire)
Langage C++
(Intermédiaire)
Programmation en Python
(Avancé)
React.js
(Débutant)
Utilisation de frameworks de test
(Intermédiaire)"
"Débutante motivée en analyse de données, avec expertise en SQL, VBA, Python et SAP FICO/HANA. Capacité prouvée à accomplir les tâches dans les délais. Compétente en visualisation de données",France entière,immédiate,"Faire preuve de rigueur et de précision
Organiser son travail selon les priorités et les objectifs
Respecter ses engagements, assumer ses responsabilités
Big data Analytics
Entretenir, nettoyer un espace, un lieu, un local","
Agent de Nettoyage

|
Pichit (Rennes, France)","Accueillir le client et l'installer
(Avancé)
Effectuer le service des plats à table
(Avancé)
Prendre une commande client
(Avancé)"
PhD en Traitement du signal,France entière,immédiate,"Faire preuve de créativité, d'inventivité
S'adapter aux changements
Concevoir et gérer un projet
Intégrer des outils IA/Data Science
Intelligence artificielle","
ORNIKAR - PERMIS B - 15H DE CO
","Adapter les outils de traitement statistique de données
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Avancé)
Développer un logiciel, un système d'informations, une application
(Avancé)
Intégrer des outils IA/Data Science
(Avancé)
Recueillir et qualifier les données, signaux, mesures, images, transmis ou émis
(Avancé)"
data Scientist,France entière,immédiate,"Animation des formations et encadrement
Développement (RIA, Magic, ..)
Gestion de projet
Méthode d’analyse et de conception
Recensement et analyse du besoin des clients","
Chef de projet en intelligence artificielle
","Algorithmique
(Avancé)
MySQL
(Avancé)
Programmation en Python
(Avancé)
Système d'exploitation Windows
(Avancé)"
Data Scientist & UI/UX Designer,France entière,immédiate,,"
Mastère 2 - Digital design

|
Bac+5 et plus ou équivalents","3DS MAX
(Intermédiaire)
After Effects
(Intermédiaire)
Analyse de données expérimentales
(Intermédiaire)
Arborescence d'un site web
(Avancé)
Blender
(Intermédiaire)
Chaîne graphique
(Avancé)
Colorimétrie
(Avancé)
Conception de sites web
(Avancé)
Ergonomie d'un site web
(Avancé)
Gestion de projet multimédia
(Avancé)
HTML
(Avancé)
Illustrator
(Intermédiaire)
InDesign
(Avancé)
Logiciels de création vidéo
(Intermédiaire)
Logiciels de montage photo
(Intermédiaire)
Maîtrise des techniques de storytelling
(Intermédiaire)
Outils de traitement ou d'intégration en animation vectorielle
(Intermédiaire)
Outils de traitement ou d'intégration en images
(Intermédiaire)
Outils de traitement ou d'intégration en son
(Avancé)
Outils de web analyse - web analytics
(Intermédiaire)
Photoshop
(Intermédiaire)
Programmation en JavaScript
(Intermédiaire)
Search Engine Marketing (SEM)
(Intermédiaire)
Site de vente en ligne
(Avancé)
Technologies de l'accessibilité numérique
(Avancé)
Typographie
(Avancé)
Webmarketing
(Avancé)
Zbrush
(Intermédiaire)"
Recherche d'un CDI en tant que Data Scientist,France entière,immédiate,,"
Mastère spécialisé data science pour la connaissance client

|
Bac+5 et plus ou équivalents","Adapter les outils de traitement statistique de données
Analyser / traiter l'information à des fins d'anticipation
Analyser des données pour soutenir des décisions stratégiques
Définir et faire évoluer des procédés de traitement de l'information
Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires
Lire et interpréter des données et documents techniques au besoin en anglais
Mobiliser des données massives pour éclairer les prises de décisions
Réaliser un modèle de prévision"
Ingénieure Logiciel et Data Junior,France entière,immédiate,"Adapter les outils de traitement statistique de données
Communiquer les résultats des études aux parties prenantes
Concevoir une application web
Recueillir et analyser les besoins client
Anglais","
Stagiaire Data Analyst

|
CSTB (Champs-sur-marne, île-de-France, France)","Adapter les outils de traitement statistique de données
Concevoir une application web"
"Data Scientist, data analyst",France entière,immédiate,,"
Data scientist
","Algorithmique
Analyse de données expérimentales
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Économétrie
Gestion de bases de données NoSQL
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation statistique
Programmation en Python
Utilisation de logiciels statistiques"
Docteur en Biogéographie - Data Analyst - Consultant,France entière,immédiate,,"
Doctorat en Biogéographie

|
Bac+5 et plus ou équivalents","Big data Analytics
Écologie"
Data Analyst experte Visualisation,France entière,immédiate,"Gérer et maitriser des bases de données (SQL/NoSQL)
Power BI
Programmation en Python
programmation R
Suite bureautique - LibreOffice","
Ingenierie Informatique

|
Bac+5 et plus ou équivalents","Analyse de données de recherche
(Intermédiaire)
Big Data
(Débutant)
Développement de tableaux de bord
(Intermédiaire)
GitLab
(Débutant)
PL/SQL
(Intermédiaire)
Programmation en Python
(Intermédiaire)
Suite bureautique - LibreOffice
(Intermédiaire)"
De Data Analyst Junior à Data Analyst Senior,France entière,immédiate,"Adapter les outils de traitement statistique de données
Analyser les tendances de consommation des clients
Assister une structure dans l'interprétation et l'analyse d'une étude
Business Intelligence (BI) / Informatique décisionnelle","
Licence Informatique Générale

|
Bac+3, Bac+4 ou équivalents","Algorithmique
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Conception et analyse d'enquête
(Intermédiaire)
Logiciels de gestion de base de données
(Avancé)
Sciences économiques et sociales
Utilisation de logiciels statistiques
(Avancé)"
"Data Scientist Expert en Machine Learning et Cloud Computing, à la Recherche d'une Nouvelle Expérience",France entière,immédiate,"Data engineer
Agililté
Application des méthodes de machine learning dans BI
GitHub
Programmation en Python","
Data scientist

|
 (Aubagne)Cette Expérience contient une pièce jointe","Analyse de données expérimentales
Application des méthodes de machine learning dans BI
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Déploiement de services cloud (cloud computing)
(Intermédiaire)
Docker
(Avancé)
GitHub
(Avancé)
JIRA
(Intermédiaire)
Logiciels de gestion de base de données
Modélisation et simulation
Programmation en Python
(Avancé)
Utilisation de logiciels statistiques"
Data scientist/ DataMiner / Data Engineer / Ml Engineer / Data Analyst,France entière,immédiate,"Communiquer les résultats des études aux parties prenantes
Définir et faire évoluer des procédés de traitement de l'information
Réaliser un modèle de prévision
Utilisation de logiciels statistiques","
Master MIASHS - Big data

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Algorithmique
Analyse de données expérimentales
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Logiciel de traitement de texte
(Avancé)
Modélisation statistique
Utilisation de logiciels de tableur
(Avancé)
Utilisation de logiciels statistiques"
A la recherche d'un poste dans la Data.,France entière,immédiate,"Esprit de synthèse
Gestion de bases de données NoSQL
Langages de programmation informatique
Méthodes agiles
Programmation en Python","
Data Analyst | CDI

|
URGO HEALTHCARE (Dijon)","Déploiement de services cloud (cloud computing)
(Intermédiaire)
Gestion de bases de données NoSQL
(Avancé)
Google Analytics
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Programmation en Python
(Avancé)"
Data Analyst,France entière,immédiate,"Travailler en équipe
Modélisation et simulation
Animer, coordonner une équipe
Concevoir des modèles théoriques (calcul, simulation, modélisation)
Techniques de gestion de projet en laboratoire","
Data Analyst - Tosa Python - POEC - Préparation Opérationnelle à l'Emploi Collective
","Bonnes Pratiques de Laboratoire -BPL-
(Avancé)
Cadre réglementaire environnemental
Normes d'hygiène et de propreté
(Avancé)
Normes qualité
(Avancé)
Procédures d'encaissement
(Avancé)
Programme de recherche et développement
(Intermédiaire)
Règles de tenue de caisse
(Avancé)
Règles et consignes de sécurité
(Avancé)"
Data Analyst – Statisticien,France entière,immédiate,"Algorithmique
Communiquer les résultats des études aux parties prenantes
Méthodes d'enquête
Rédiger de l'information","
Ingénieur de recherche en macroéconomie,supply chain

|
HighfiSasCette Expérience contient une pièce jointe","Algorithmique
Analyse de données expérimentales
(Avancé)
Big data Analytics
Économétrie
(Avancé)
Économie
(Avancé)
Gestion budgétaire
(Avancé)
Gestion des relations clientèle
Intelligence économique
Langages de programmation informatique
Logiciels de gestion de base de données
Sciences économiques et sociales
(Avancé)"
"Jeune diplômée d'une école d'ingénieur avec une spécialisation en intelligence artificielle, à la recherche d'opportunités en IA, data et machine learning.",France entière,immédiate,,"
CONSULTANTE

|
WAVESTONE (Puteaux)","CSS
(Intermédiaire)
Déploiement de services cloud (cloud computing)
(Intermédiaire)
Gestion de bases de données NoSQL
(Intermédiaire)
GitHub
(Intermédiaire)
Langage C++
(Intermédiaire)
Programmation en JavaScript
(Intermédiaire)"
Data Analyst,France entière,immédiate,"Faire preuve de leadership
Prendre des initiatives et être force de proposition
Travailler en équipe
Adapter les outils de traitement statistique de données
Communiquer les résultats des études aux parties prenantes","
Master Marketing et Data Science

|
Bac+5 et plus ou équivalents","Adapter les outils de traitement statistique de données
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Avancé)"
Jeune diplômée en analyste de données à la recherche de nouvelles aventures au sein d’une entreprise où la data a toute sa place. Mon objectif est d’apprendre plus que Power Bi.,France entière,immédiate,"Business Intelligence (BI) / Informatique décisionnelle
Gestion de bases de données NoSQL
JIRA
Programmation en Python
Anglais","
Diplôme d’ingénieur 

|
Bac+5 et plus ou équivalents","Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
CSS
Danses de salon
Gestion de bases de données NoSQL
HTML
Java
JIRA
Microsoft Excel
Microsoft Word
MySQL
PHP
Programmation en Python
Utilisation de frameworks de test
Visual Basic for Applications (VBA)"
Data Scientist,France entière,immédiate,Concevoir une application web,"
Data Scientist Consultant

|
Capgemini (TOULOUSE)","Analyser, exploiter, structurer des données
(Intermédiaire)
Concevoir une application web
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Intermédiaire)"
Data Analyst,France entière,immédiate,"Faire preuve de curiosité
Organiser son travail selon les priorités et les objectifs
Travailler en équipe
C++, Python, PHP, Shell, HTML CSS, XML
SQL, MySQL, PL SQL, ORACLE","
MASTERE EN INTELLIGENCE ARTIFICIEL ET DIGITAL MANAGER

|
Bac+5 et plus ou équivalents",
ingénieure data performance sport automobile,France entière,immédiate,"Anglais
Portugais","
INGENIEUR DATA PERFORMANCE

|
A MON COMPTE",
Data Analyst,France entière,immédiate,"Analyser les tendances de consommation des clients
Gestion de projet
Marketing / Mercatique
Réaliser une étude quantitative
Rédiger de l'information","
Data Scientist
","Analyse de données expérimentales
(Avancé)
Big data Analytics
(Intermédiaire)
Conception et analyse d'enquête
(Avancé)
Insights marketing
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Modélisation statistique
(Intermédiaire)
Utilisation de logiciels statistiques"
Data Analyst - Data Engineer,France entière,immédiate,"Business Intelligence (BI) / Informatique décisionnelle
MySQL
Power BI DAX
Progiciel de gestion SAS Statistiques
Anglais","
Master 2 Data Analyst a ""Data Sciencetech Institute"" | Dsti Paris - France

|
Bac+5 et plus ou équivalents","Application des méthodes de machine learning dans BI
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Gestion de bases de données NoSQL
Gestion de données
IDE (Integrated Development Environment) Visual Studio
Java
Logique mathématique
Microsoft Excel
Microsoft Exchange Server
MySQL
Progiciel de gestion SAS Statistiques
Programmation en Python
Statistiques appliquées
Système d'exploitation Unix
Système d'exploitation Windows
Techniques d'exploration de données (data mining)
Théorie des probabilités
Transact SQL (T-SQL)
Visual Basic
XML"
Ingénieur Big Data,France entière,immédiate,,"
DATA SCIENTIST

|
FIPSICO (Lille)","Apache
Application des méthodes de machine learning dans BI
Déploiement de services cloud (cloud computing)
Grande distribution
Java
Microsoft Exchange Server
MySQL
Programmation en Python
Système de Gestion de Bases de Données (SGBD)
Système temps réel
Techniques d'exploration de données (data mining)"
Ingénieur Data Scientist,France entière,immédiate,"Application des méthodes de machine learning dans BI
Matplotlib
Méthodes de visualisation
Programmation en Python
Anglais","
Office National d'Études et de Recherches Aérospatiales Data Scientist - Stage de fin d'études

|
 (Avril)","Application des méthodes de machine learning dans BI
(Avancé)
Commandes Numériques (CN)
(Intermédiaire)
Gestion de bases de données NoSQL
(Avancé)
GitLab
(Intermédiaire)
Kubernetes
(Avancé)
Méthodes de visualisation
(Avancé)
Optimisation de performances
(Avancé)
PL/SQL
(Intermédiaire)
Programmation en Python
(Avancé)
Realflow
Système de Gestion de Bases de Données (SGBD)
(Avancé)
Toon Boom"
Consultant Data,France entière,immédiate,"Analyser des données techniques pour optimiser les processus
Élaborer des solutions techniques et fonctionnelles
Présenter les évolutions du système d'information au commanditaire
Recenser les besoins du commanditaire
Français","
Ingénierie logicielle, Application aux données environnementales

|
Bac+5 et plus ou équivalents",Présenter les évolutions du système d'information au commanditaire
Data Analyst,France entière,immédiate,"php
CSS
HTML
Suite bureautique - LibreOffice
Anglais","
Stage Informatique chez DBCOM

|
DBCOM","Adobe Première Pro
CMS (Système de gestion de contenu) Joomla
CSS
HTML
Microsoft Excel
Suite bureautique - LibreOffice"
Geoscientist Data Manager,France entière,immédiate,"Analyse de données de production
Déterminer des mesures correctives
Mettre en place des solutions d'amélioration de la performance
Anglais
B - Véhicule léger","
Géologue Data Manager

|
CVA Engineering (Pau, Pyrénées Atlantiques, France)","Analyse sismologique
(Intermédiaire)
Diagraphie
(Avancé)
Géodésie
(Avancé)
Géologie
(Avancé)
Géothermie
(Intermédiaire)
Gestion des habitats naturels
(Avancé)
Granulométrie
Informatique scientifique
(Avancé)
Modélisation et simulation
Pédologie (formation, évolution et caractéristiques des sols, ...)
(Intermédiaire)
Sédimentologie
(Avancé)
Stratigraphie
(Avancé)
Surveillance thermique des volcans
(Avancé)
Système d'Information Géographique (SIG)
(Intermédiaire)
Systèmes d'information de gestion"
A la recherche d'un CDI en Data,France entière,immédiate,"Algorithmique
Analyse de données expérimentales
Langages de programmation informatique
Utilisation de logiciels statistiques","
Consultant Data Engineer

|
Sinay (Caen (full remote))","Algorithmique
(Intermédiaire)
Analyse de données expérimentales
(Intermédiaire)
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Débutant)
Développement économique
(Intermédiaire)
Économétrie
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Logiciels de gestion de base de données
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Modélisation statistique
(Intermédiaire)
Urbanisme
(Débutant)
Utilisation de logiciels statistiques
(Intermédiaire)"
Data Analyst,France entière,immédiate,"Analyser, exploiter, structurer des données
Communiquer les résultats des études aux parties prenantes
Concevoir des modèles de détection des insights consommateurs
Faire preuve d'autonomie
Prendre des initiatives et être force de proposition","
Master DATA

|
Bac+5 et plus ou équivalents","Adapter les outils de traitement statistique de données
Analyser, exploiter, structurer des données
Assister une structure dans l'interprétation et l'analyse d'une étude
Définir et faire évoluer des procédés de traitement de l'information"
Data Scientist,France entière,immédiate,"Faire preuve d'autonomie
Faire preuve de curiosité
Travailler en équipe
Assister une structure dans l'interprétation et l'analyse d'une étude
Réaliser une étude","
Doctorant

|
Artificial and Natural Intelligence Toulouse Institute (ANITI) (Toulouse, 31000, Haut-Garonne, France)Cette Expérience contient une pièce jointe","Adapter les outils de traitement statistique de données
(Avancé)
Analyser, exploiter, structurer des données
(Avancé)
Assister une structure dans l'interprétation et l'analyse d'une étude
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Intermédiaire)
Réaliser un modèle de prévision
(Avancé)"
Data Analyst à la recherche d'une opportunité,France entière,immédiate,,"
Data Analyst
","Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Insights marketing
Langages de programmation informatique
Maitrise statistique du processus (MSP)
(Avancé)
Modélisation et simulation
Sécurité physique des datacenters
(Avancé)
Systèmes de gestion de base de données
(Intermédiaire)"
Reconversion en Data Analyst,France entière,immédiate,"Faire preuve de curiosité
Rédiger un rapport, un compte rendu d'activité
Utilisation de logiciels de tableur
Utiliser les outils numériques
Apporter une assistance technique aux équipes","
Data analyst

|
Bac+3, Bac+4 ou équivalents","Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Identification des signes et du degré de la douleur
(Avancé)
Informatique
(Intermédiaire)
Langages de programmation informatique
Logiciel de traitement de texte
(Intermédiaire)
Modélisation et simulation
Modélisation statistique
Soins de nursing
(Intermédiaire)
Techniques de mobilisation des patients
(Intermédiaire)
Terminologie médicale
(Intermédiaire)
Traitement des commandes
Utilisation de logiciels de tableur
(Intermédiaire)"
Data Scientist Junior,France entière,immédiate,,"
Data Scientist

|
SANEF (Issy les Moulineaux)","Application des méthodes de machine learning dans BI
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
(Avancé)
Modélisation et simulation
Programmation en Python
Système de Gestion de Bases de Données (SGBD)"
Data scientist,France entière,immédiate,"Algorithmique
Business Intelligence (BI) / Informatique décisionnelle
Logiciels de gestion de base de données
Modélisation statistique","
Stages monde : stages professionnels dans le monde entier - Asie-Océanie
","Algorithmique
Analyse de données expérimentales
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Utilisation de logiciels statistiques"
Data Analyst,France entière,immédiate,,"
Anglais - 
","Gestion de versions de logiciels de jeux
(Avancé)
PL/SQL
(Avancé)
Programmation en Python
(Avancé)
Système d'exploitation informatique VMWare (virtualisation d'architecture)
(Avancé)
Système d'exploitation Linux
(Avancé)"
"Data, IA, Computer vision, Traitement d'image, Python, JavaScript",France entière,immédiate,"Travailler en équipe
Application web
Concevoir une application web
Français
Anglais","
Développeur.se RPG et web sous IBM i
","Anglais technique
Apache
Application web
(Intermédiaire)
Architecture propriétaire
Architecture web
Big data Analytics
(Intermédiaire)
C#
CSS
Gestion de bases de données NoSQL
Gestion des relations clientèle
HTML
Informatique industrielle
Informatique scientifique et technique
J2EE
Java
Langage C++
PHP
Programmation en Python
Publication Assistée par Ordinateur (PAO)
Réseaux informatiques et télécoms
Sécurité des systèmes embarqués
XML"
"Senior Data Analyst, j’ai travaillé en tant que consultant interne chargé de fournir des analyses et insights concrets sur des problématiques business.",France entière,immédiate,"Analyse de données expérimentales
Gestion de projet
Mettre en place des solutions d'amélioration de la performance
Réaliser une étude marketing
Rédiger un rapport, un compte rendu d'activité","
MASTER 2 PROGRAMME GRANDE ECOLE - TOULOUSE BUSINESS SCHOOL

|
Bac+5 et plus ou équivalents","Concevoir la campagne promotionnelle d'un produit
Contractualiser une prestation avec un client
Élaborer, adapter une proposition commerciale
Élaborer un plan marketing, une stratégie de marque et de communication
Mettre en oeuvre des actions commerciales et promotionnelles
Réaliser une étude marketing
Répondre à un appel d'offre"
Business Data Analyst - bilingue anglais - 7 ans d'expérience,France entière,immédiate,"Travailler en équipe
Analyse de données expérimentales
Gestion de projet
Recueillir et analyser les besoins client
Techniques de communication orales, écrites et numériques","
Développeur en intelligence artificielle bloc 1 analyse exploratoire et descriptive de la donnée / B

|
Bac+5 et plus ou équivalents","Analyser un marché
(Avancé)
Concevoir la campagne promotionnelle d'un produit
(Avancé)
Concevoir un argumentaire produit
(Intermédiaire)
Définir une gamme de produits
(Avancé)
Développer et fidéliser la relation client
(Avancé)
Élaborer un plan marketing, une stratégie de marque et de communication
(Avancé)
Mettre en oeuvre des actions commerciales et promotionnelles
(Avancé)
Réaliser une veille de marché, une veille concurrentielle
(Avancé)"
Jeune diplomé avec 1 an d'expérience disponible pour le poste de Data Scientist/Analyst/Big Data,France entière,immédiate,"Analyse de données expérimentales
Langages de programmation informatique
Modélisation statistique
Utilisation de logiciels statistiques","
Master statistique et économétrie

|
Bac+5 et plus ou équivalents","Algorithmique
Analyse de données expérimentales
Big data Analytics
Économétrie
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Utilisation de logiciels statistiques"
A la recherche d'une opportunité dans la Data,France entière,immédiate,Programmation en Python,"
Simulation du modèle d'Ising avec des algorithmes de type Monte Carlo par chaînes de Markov

|
Inria hébergée par l'École normale supérieure de Lyon (Lyon)Cette Expérience contient une pièce jointe","Algorithmique
(Intermédiaire)
Gestion de bases de données NoSQL
(Intermédiaire)
GitHub
(Débutant)
Langages de programmation informatique
Modélisation et simulation
Modélisation statistique
Programmation en Python
(Avancé)
Système d'exploitation Unix
(Intermédiaire)"
Diplomé d'un master Finance & Information Technology de la Toulouse School of Management. A la recherche d'un premier emploi dans le domaine de la data.,France entière,immédiate,"Adapter les outils de traitement statistique de données
Communiquer les résultats des études aux parties prenantes
Définir et faire évoluer des procédés de traitement de l'information
Rédiger de l'information
Anglais","
Co-fondateur / Data analyst

|
Allive (Toulouse)","Charger, décharger, manutentionner des produits
Conditionner des produits
Ranger des produits ou marchandises selon leurs dates de validité et les conditions de conservation
Trier et répartir les colis, marchandises selon les indications (codification, format, poids, nombre, ...)"
Chargée d'études actuarielles/statistiques/data analyst,France entière,immédiate,,"
Ingénierie Statistique et économique de la Finance, de l'assurance et du risque

|
Bac+5 et plus ou équivalents","Gestion de bases de données NoSQL
Gestion de la sécurité des données dans les projets BI
Maitrise statistique du processus (MSP)
Microsoft Excel
Microsoft PowerPoint
Microsoft Word
Progiciel de gestion SAS Statistiques
Programmation en Python
Science actuarielle
Utilisation de logiciels statistiques"
Data Engineer | Analyst,France entière,immédiate,"Adapter les outils de traitement statistique de données
Définir et faire évoluer des procédés de traitement de l'information
Langages de programmation informatique
Modélisation et simulation
Réaliser des études spécifiques","
INTELLIGENCE ARTIFICIELLE FONDEMENTS ET APPLICATIONS

|
Bac+5 et plus ou équivalents","Algorithmique
(Avancé)
Analyse de données expérimentales
(Intermédiaire)
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Conception et analyse d'enquête
Langages de programmation informatique
(Avancé)
Logiciels de gestion de base de données
(Intermédiaire)
Modélisation et simulation
(Avancé)
Modélisation statistique
(Avancé)"
Data scientist,France entière,immédiate,,,
Data Analyst avec expérience,France entière,immédiate,"Langages de programmation informatique
Logiciels de gestion de base de données
Français
Anglais","
Master en Machine Intelligence

|
Bac+5 et plus ou équivalents","Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Langages de programmation informatique
Logiciels de gestion de base de données"
Economiste & Data Analyst | Macroéconomie | Prévision économique et financière,France entière,immédiate,"Analyse de données expérimentales
Anglais
Logiciels de gestion de base de données
Réaliser une veille documentaire
Sciences économiques et sociales","
Analyser les données avec Microsoft Power BI
","Analyse de données expérimentales
(Avancé)
Économétrie
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Mathématiques financières
(Avancé)
Sciences économiques et sociales
(Avancé)
Statistiques appliquées
(Avancé)"
Data scientist,France entière,immédiate,"Faire preuve de créativité, d'inventivité
Informatique
Structurer, synthétiser des informations
Utiliser les outils numériques
Anglais","
Master MEEF Mathématiques

|
Bac+5 et plus ou équivalents","Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux
Évaluer des acquis d'apprentissage, de formation ou d'expérience
Organiser des évaluations de connaissances et de compétences, des examens
(Avancé)"
Ingénieur généraliste diplômé. Spécialisation en mécatronique et robotique. Formation complémentaire en big data,France entière,immédiate,"Être à l'écoute, faire preuve d'empathie
Faire preuve d'autonomie
Faire preuve de curiosité
S'adapter aux changements","
Chef de projet en transformation digitale

|
France Chimie Grand Est (Mulhouse)","Algorithmique
(Débutant)
Analyse de cycle de vie
(Débutant)
Analyse de risque
(Débutant)
Application des méthodes de machine learning dans BI
(Débutant)
Automatisme
(Débutant)
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Débutant)
Conception d'un grafcet
(Débutant)
Économie du développement durable
(Débutant)
Électricité
(Débutant)
Énergies renouvelables
(Débutant)
Informatique
(Intermédiaire)
Installation de systèmes hydrauliques
(Intermédiaire)
Langage C++
(Débutant)
Langages de programmation informatique
(Intermédiaire)
Logiciels de gestion de base de données
(Débutant)
Mécanique des fluides
(Intermédiaire)
Mécatronique
(Débutant)
Mise à jour des connaissances en mécanique
(Débutant)
Pneumatique
(Débutant)
Programmation en Python
(Intermédiaire)
Robotique
(Débutant)
Techniques d'audit interne
(Débutant)
Thermodynamique
(Débutant)
Utilisation de logiciels de CAO/DAO
(Débutant)
Utilisation de logiciels statistiques
(Débutant)
Visual Basic
(Intermédiaire)"
Data Scientist /Analyst - Statisticien,France entière,immédiate,"Analyse de données expérimentales
Économétrie
Logiciels de gestion de base de données
NOSQL: MongoDB
Utilisation de logiciels statistiques","
Master IES Data Science for Social Sciences 

|
Bac+5 et plus ou équivalents","Analyse de données expérimentales
(Avancé)
Application des méthodes de machine learning dans BI
(Avancé)
Big data Analytics
(Avancé)
Character Studio
(Avancé)
Déploiement de services cloud (cloud computing)
(Avancé)
Économétrie
(Avancé)
Gestion de bases de données NoSQL
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Microsoft PowerPoint
(Avancé)
Modélisation et simulation
(Avancé)
Modélisation statistique
(Avancé)
MySQL
(Avancé)
Programmation en Python
(Avancé)
Proplan
(Avancé)
Utilisation de logiciels statistiques
(Avancé)"
Data Analyst,France entière,immédiate,"Prendre une décision et l'expliquer
Analyse de données expérimentales
Analyser, exploiter, structurer des données
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données
Structurer, synthétiser des informations","
Data Analyst

|
Le Groupe La POSTE (Issy-les-Moulineaux)","Analyse de données expérimentales
Conception et analyse d'enquête
Méthodes et outils de résolution de problèmes
Modélisation et simulation
Technologie de Groupe Assistée par Ordinateur (TGAO)
Utilisation de logiciels de CAO/DAO
Utilisation de logiciels de conception et fabrication assistée par ordinateur (CFAO)"
"Jeune diplômé, Recherche CDI dans le domaine de la data",France entière,immédiate,"Data engineer
Définir les solutions de stockage et de structuration des données
Mettre en place des solutions d'amélioration de la performance
Programmation en Python
Utiliser l'anglais en contexte professionnel","
M2 - Data Engineer & Data Scientist

|
Bac+5 et plus ou équivalents","Algorithmique
Anglais technique
Application web
Architecture web
Business Intelligence (BI) / Informatique décisionnelle
Déploiement de services cloud (cloud computing)
Génie logiciel
Informatique scientifique et technique
Intelligence artificielle
Langages de programmation informatique
Maîtrise d'un outil de gestion de flux (Kafka, Flink…)
Modèle informatique client-serveur
Programmation en Python
Programmation logicielle
Système d'exploitation Linux
Systèmes d'exploitation informatique
Systèmes d'information de gestion
Technologies HADOOP
Technologies SPARK (Framework)"
Data Analyst,France entière,immédiate,"Élaborer des solutions techniques et fonctionnelles
Méthode AGILE
Modélisation informatique
Rédiger de l'information
Analyser, exploiter, structurer des données","
Data analyst

|
Hn services","Adapter les outils de traitement statistique de données
(Avancé)
Analyser, exploiter, structurer des données
(Avancé)
Concevoir l'architecture d'un système, d'un réseau
Déployer, intégrer un logiciel, un système d'informations, une application
Procéder aux phases de tests et de recettes des applications développées
(Intermédiaire)
Réaliser un modèle de prévision
(Intermédiaire)"
